resource_id,date,region,service,instance_type,environment,cpu_pct,ram_pct,disk_io,network_in,network_out,storage_gb,monthly_cost,uptime_hours,anomaly
RES-93810,2025-02-22,eu-west-1,Lambda,t3.micro,Development,52.64,65.23,455.12,248.16,22.35,174.26,471.8,18.23,0
RES-93810,2025-02-23,eu-west-1,EC2,t3.micro,Production,66.05,70.08,471.91,150.64,148.64,89.64,74.19,10.94,0
RES-93810,2025-02-24,ap-south-1,EBS,m5.large,Development,91.46,82.74,291.85,285.29,299.87,675.56,415.22,1.93,0
RES-93810,2025-02-25,eu-west-1,Lambda,m5.large,Development,18.88,59.44,321.04,148.03,28.28,354.48,509.96,16.41,0
RES-93810,2025-02-26,us-east-1,EBS,m5.large,Development,63.62,42.24,382.64,11.97,27.33,259.87,187.14,18.77,0
RES-93810,2025-02-27,ap-south-1,EC2,t3.micro,Testing,7.04,53.21,315.09,150.05,133.17,61.1,411.58,4.01,0
RES-93810,2025-02-28,us-east-1,S3,m5.large,Testing,58.63,27.25,87.61,165.7,166.12,102.28,1488.5,22.0,0
RES-93810,2025-03-01,us-west-2,EC2,t3.medium,Development,29.14,70.6,213.59,145.27,142.19,462.22,229.79,5.38,0
RES-93810,2025-03-02,ap-south-1,EBS,m5.large,Development,33.61,78.26,140.91,1.77,218.09,839.1,876.19,16.18,0
RES-93810,2025-03-03,ap-south-1,EC2,t3.medium,Testing,32.92,75.95,194.83,279.92,261.01,980.97,369.63,9.81,0
RES-93810,2025-03-04,eu-central-1,RDS,t3.micro,Development,45.99,89.95,196.8,296.54,237.93,655.5,240.88,23.19,0
RES-93810,2025-03-05,eu-central-1,Lambda,t3.micro,Development,11.27,89.67,17.52,44.1,261.41,970.26,126.12,18.98,0
RES-93810,2025-03-06,eu-west-1,S3,t3.micro,Development,81.27,84.92,196.2,95.68,215.9,761.81,1310.49,1.83,0
RES-93810,2025-03-07,eu-west-1,RDS,m5.large,Production,92.99,75.71,354.91,31.05,50.74,306.47,57.99,8.46,0
RES-93810,2025-03-08,eu-central-1,S3,t3.small,Development,24.71,43.32,344.08,54.84,53.35,613.4,583.08,16.71,0
RES-93810,2025-03-09,eu-central-1,RDS,m5.large,Testing,61.33,47.74,336.75,269.77,140.11,294.76,826.7,2.7,0
RES-93810,2025-03-10,eu-west-1,EC2,m5.large,Development,25.26,83.61,107.62,116.02,145.48,244.83,864.31,14.22,0
RES-93810,2025-03-11,us-west-2,EBS,t3.medium,Production,2.75,85.45,391.37,292.11,273.27,747.72,1251.77,21.77,0
RES-93810,2025-03-12,eu-west-1,Lambda,t3.micro,Testing,61.21,62.74,342.1,216.56,198.1,839.95,947.95,21.78,0
RES-93810,2025-03-13,eu-central-1,RDS,t3.small,Development,35.93,17.22,455.72,98.69,125.24,208.79,1182.97,21.16,0
RES-93810,2025-03-14,us-west-2,Lambda,c5.large,Development,87.01,92.81,484.02,89.25,261.25,806.19,710.47,2.73,0
RES-93810,2025-03-15,eu-west-1,EC2,t3.small,Development,10.4,41.7,139.58,37.95,111.21,751.52,404.31,9.76,0
RES-93810,2025-03-16,ap-south-1,EC2,t3.small,Production,4.33,87.23,285.09,274.66,67.19,72.58,1238.43,21.92,0
RES-93810,2025-03-17,eu-central-1,Lambda,c5.large,Testing,90.0,33.31,251.39,30.06,266.29,144.31,688.66,16.42,0
RES-93810,2025-03-18,ap-south-1,S3,t3.medium,Production,69.57,87.34,330.91,250.27,185.08,939.66,430.41,16.88,0
RES-93810,2025-03-19,us-east-1,S3,c5.large,Production,93.23,39.16,451.83,193.8,19.1,283.12,1452.79,22.83,0
RES-93810,2025-03-20,us-west-2,RDS,t3.small,Testing,6.7,36.02,494.52,236.31,62.36,831.52,838.0,14.49,0
RES-93810,2025-03-21,eu-west-1,EC2,t3.small,Development,11.85,4.76,80.9,39.87,75.95,182.75,996.67,1.59,1
RES-93810,2025-03-22,eu-central-1,EC2,c5.large,Development,6.87,73.98,267.78,223.95,143.4,780.24,777.16,3.51,0
RES-93810,2025-03-23,us-east-1,RDS,c5.large,Production,44.6,94.65,39.8,144.22,121.08,689.24,743.05,21.92,0
RES-93810,2025-03-24,us-east-1,EC2,c5.large,Testing,8.11,30.58,320.21,164.96,98.23,994.68,802.88,11.44,0
RES-93810,2025-03-25,eu-west-1,RDS,t3.small,Testing,82.49,45.0,445.16,124.73,248.4,404.74,1098.47,8.19,0
RES-93810,2025-03-26,eu-central-1,EBS,t3.medium,Testing,87.84,11.24,417.57,28.88,29.87,741.41,1220.48,13.8,0
RES-93810,2025-03-27,eu-central-1,EBS,t3.small,Production,13.37,37.88,336.02,225.33,260.56,723.85,1453.07,14.81,0
RES-93810,2025-03-28,eu-central-1,EBS,c5.large,Production,63.08,25.85,63.03,253.77,110.9,764.98,867.54,19.57,0
RES-93810,2025-03-29,us-west-2,EBS,m5.large,Production,58.64,66.18,349.8,9.66,82.71,764.79,1383.48,9.07,0
RES-93810,2025-03-30,eu-central-1,EBS,t3.micro,Production,15.19,63.88,25.02,224.09,65.32,425.63,521.23,9.51,0
RES-93810,2025-03-31,eu-central-1,EC2,t3.medium,Development,16.47,75.16,34.38,25.39,133.49,429.77,916.51,10.53,0
RES-93810,2025-04-01,us-west-2,S3,t3.medium,Development,12.31,68.07,300.64,158.55,93.22,228.31,1476.9,2.26,0
RES-93810,2025-04-02,us-east-1,Lambda,t3.micro,Development,32.52,5.72,376.04,53.53,114.68,706.63,757.89,20.17,0
RES-93810,2025-04-03,eu-central-1,Lambda,t3.medium,Production,4.87,16.03,432.43,173.15,172.45,712.4,635.28,3.65,1
RES-93810,2025-04-04,us-east-1,EBS,t3.micro,Testing,42.61,14.85,223.48,120.73,24.52,871.82,1122.52,6.1,0
RES-93810,2025-04-05,eu-central-1,S3,t3.micro,Production,49.43,89.25,181.19,218.49,245.87,816.89,365.86,4.37,0
RES-93810,2025-04-06,eu-west-1,RDS,t3.small,Development,90.47,63.4,237.34,169.56,174.26,684.32,1324.84,15.79,0
RES-93810,2025-04-07,eu-west-1,EC2,t3.micro,Testing,8.35,46.13,158.38,83.13,17.8,512.26,475.96,11.39,0
RES-93810,2025-04-08,eu-central-1,Lambda,c5.large,Production,57.25,40.76,294.36,286.32,221.94,50.61,1364.94,14.15,0
RES-93810,2025-04-09,ap-south-1,EBS,c5.large,Testing,91.07,46.9,407.37,251.38,294.73,93.49,974.5,1.9,0
RES-93810,2025-04-10,us-east-1,EBS,m5.large,Development,16.76,39.68,148.62,123.22,102.17,601.91,1187.0,15.89,0
RES-93810,2025-04-11,ap-south-1,S3,c5.large,Testing,25.44,84.2,482.56,181.21,45.96,90.69,1000.46,22.09,0
RES-93810,2025-04-12,eu-central-1,EC2,m5.large,Testing,89.23,33.79,194.57,237.71,244.14,673.42,1246.0,17.99,0
RES-93810,2025-04-13,us-east-1,EBS,c5.large,Testing,35.65,38.72,98.33,65.04,284.35,491.41,351.42,4.16,0
RES-93810,2025-04-14,us-west-2,Lambda,t3.micro,Development,84.18,8.51,175.01,230.13,40.18,382.95,255.94,20.12,0
RES-93810,2025-04-15,ap-south-1,S3,t3.medium,Testing,35.88,71.92,485.1,183.57,225.96,785.96,362.49,6.5,0
RES-93810,2025-04-16,us-west-2,RDS,t3.micro,Testing,90.08,96.55,236.22,85.25,115.18,532.19,1449.91,19.79,0
RES-93810,2025-04-17,eu-central-1,S3,m5.large,Production,46.69,39.52,467.8,213.71,155.26,133.43,139.55,4.69,0
RES-93810,2025-04-18,eu-west-1,S3,t3.micro,Development,90.02,25.65,231.05,105.53,8.97,62.72,760.48,6.42,0
RES-93810,2025-04-19,ap-south-1,Lambda,c5.large,Production,88.57,83.04,328.48,237.62,42.14,294.01,1247.2,17.01,0
RES-93810,2025-04-20,us-east-1,EC2,t3.small,Development,86.24,6.77,115.67,45.71,282.13,612.79,643.53,18.85,0
RES-93810,2025-04-21,eu-west-1,Lambda,t3.micro,Testing,61.42,62.92,40.78,251.17,150.45,540.69,953.45,14.23,0
RES-93810,2025-04-22,eu-central-1,EBS,t3.micro,Development,34.81,58.07,101.78,200.8,157.52,367.0,1430.8,13.51,0
RES-93810,2025-04-23,us-east-1,EBS,t3.medium,Production,83.22,9.05,199.57,112.62,224.45,363.52,115.33,6.55,0
RES-93810,2025-04-24,us-east-1,Lambda,t3.micro,Development,6.12,55.78,408.62,53.35,233.96,469.98,1047.65,15.53,0
RES-93810,2025-04-25,us-east-1,RDS,t3.medium,Production,9.7,5.72,444.04,95.36,93.71,404.24,1225.88,11.89,1
RES-93810,2025-04-26,eu-central-1,RDS,t3.micro,Testing,76.34,45.64,206.01,132.48,286.99,345.65,292.42,16.92,0
RES-93810,2025-04-27,ap-south-1,S3,m5.large,Development,41.48,45.05,497.6,54.96,88.84,111.57,501.96,7.8,0
RES-93810,2025-04-28,ap-south-1,RDS,c5.large,Testing,43.58,72.59,456.69,184.84,131.05,643.07,1190.34,2.32,0
RES-93810,2025-04-29,ap-south-1,EBS,t3.micro,Testing,65.19,93.61,79.96,182.66,234.61,44.45,114.84,18.91,0
RES-93810,2025-04-30,us-east-1,EC2,t3.small,Development,16.27,46.84,191.77,133.74,23.99,146.32,559.92,8.23,0
RES-93810,2025-05-01,us-west-2,EC2,t3.small,Production,50.15,89.96,67.7,232.71,211.51,222.42,923.64,16.96,0
RES-93810,2025-05-02,eu-central-1,RDS,t3.medium,Production,44.04,88.58,228.1,27.25,204.9,847.07,489.59,8.99,0
RES-93810,2025-05-03,us-east-1,RDS,c5.large,Testing,68.2,91.24,322.47,238.32,153.12,130.15,313.46,4.19,0
RES-93810,2025-05-04,ap-south-1,EBS,t3.micro,Production,36.31,79.74,280.31,183.97,26.78,316.2,1499.4,17.53,0
RES-93810,2025-05-05,us-west-2,Lambda,c5.large,Production,92.43,64.74,230.49,204.35,104.01,879.18,1173.69,15.72,0
RES-93810,2025-05-06,us-east-1,RDS,t3.small,Testing,79.32,53.18,159.02,49.43,280.49,233.22,1422.01,12.93,0
RES-93810,2025-05-07,eu-central-1,EBS,t3.medium,Testing,90.94,30.52,316.26,184.71,28.94,644.58,893.84,14.35,0
RES-93810,2025-05-08,us-east-1,Lambda,c5.large,Development,5.83,85.33,49.8,284.62,231.54,272.01,328.05,14.16,0
RES-93810,2025-05-09,ap-south-1,S3,t3.medium,Testing,61.7,33.09,129.99,242.4,122.42,459.01,1037.59,4.64,0
RES-93810,2025-05-10,us-west-2,Lambda,t3.micro,Development,15.36,85.12,166.47,296.42,104.27,404.73,1144.59,12.84,0
RES-93810,2025-05-11,eu-central-1,RDS,t3.small,Production,43.81,18.1,34.8,283.67,259.38,423.95,1444.59,21.75,0
RES-93810,2025-05-12,eu-west-1,EC2,t3.micro,Development,48.34,52.87,254.39,93.25,7.93,945.78,765.59,23.23,0
RES-93810,2025-05-13,ap-south-1,RDS,t3.micro,Development,48.03,87.06,330.59,141.71,161.47,848.7,654.93,21.3,0
RES-93810,2025-05-14,eu-central-1,EC2,t3.small,Production,6.76,57.25,187.64,87.29,116.52,455.85,831.54,19.98,0
RES-93810,2025-05-15,ap-south-1,EBS,m5.large,Production,2.06,6.66,176.15,281.75,226.73,207.07,771.05,12.5,1
RES-93810,2025-05-16,eu-central-1,EBS,m5.large,Testing,58.38,52.94,170.7,184.31,49.59,990.71,1112.89,7.88,0
RES-93810,2025-05-17,us-east-1,EBS,m5.large,Development,54.35,49.17,18.15,100.04,33.77,422.37,471.9,21.67,0
RES-93810,2025-05-18,ap-south-1,S3,t3.small,Production,91.94,77.81,390.32,173.71,216.7,587.69,268.21,15.47,0
RES-93810,2025-05-19,ap-south-1,EC2,t3.small,Testing,55.25,70.15,103.48,132.87,126.22,418.83,317.78,12.54,0
RES-93810,2025-05-20,eu-west-1,EBS,m5.large,Production,21.28,35.23,334.49,158.12,94.81,181.45,1369.5,8.87,0
RES-93810,2025-05-21,ap-south-1,RDS,c5.large,Testing,91.03,30.95,156.26,282.5,294.7,773.46,1061.78,16.88,0
RES-93810,2025-05-22,eu-west-1,EC2,t3.medium,Development,27.43,16.33,341.54,114.53,294.07,820.19,1432.59,19.51,0
RES-93810,2025-05-23,us-west-2,S3,t3.micro,Testing,63.01,74.5,114.85,248.56,82.07,566.4,418.36,3.51,0
RES-93810,2025-05-24,us-west-2,Lambda,m5.large,Development,86.18,25.99,124.09,30.96,99.76,477.68,1026.57,4.16,0
RES-93810,2025-05-25,us-east-1,S3,m5.large,Production,62.5,75.3,150.75,86.34,18.69,771.04,983.66,6.34,0
RES-93810,2025-05-26,eu-west-1,RDS,m5.large,Testing,4.48,12.06,419.74,236.6,56.71,751.51,1310.35,7.66,1
RES-93810,2025-05-27,eu-west-1,S3,t3.micro,Testing,52.53,50.93,469.89,255.47,140.94,200.88,182.28,4.74,0
RES-93810,2025-05-28,ap-south-1,EC2,t3.small,Production,33.35,32.44,340.46,58.76,183.68,642.34,617.15,10.84,0
RES-93810,2025-05-29,eu-west-1,RDS,t3.small,Production,46.4,92.03,13.35,115.69,134.57,274.32,504.49,14.4,0
RES-93810,2025-05-30,eu-west-1,RDS,c5.large,Production,64.1,48.28,88.26,206.14,277.01,888.92,1158.21,16.88,0
RES-93810,2025-05-31,us-west-2,S3,c5.large,Production,22.38,17.42,85.06,224.57,182.12,421.69,830.61,11.83,0
RES-93810,2025-06-01,us-west-2,RDS,c5.large,Development,50.87,54.12,187.27,275.26,34.55,830.49,1355.79,5.65,0
RES-93810,2025-06-02,us-east-1,EBS,m5.large,Testing,12.81,24.1,295.74,28.19,153.6,810.61,688.35,12.8,0
RES-93810,2025-06-03,us-east-1,EC2,m5.large,Production,77.04,72.27,204.01,245.12,224.0,582.53,82.26,8.92,0
RES-93810,2025-06-04,ap-south-1,Lambda,t3.micro,Testing,28.7,21.74,76.36,192.82,219.06,964.14,571.07,21.5,0
RES-93810,2025-06-05,us-east-1,EC2,t3.medium,Development,91.67,86.33,75.17,258.23,36.47,992.92,598.69,3.93,0
RES-93810,2025-06-06,us-east-1,EC2,m5.large,Testing,64.64,55.63,270.65,247.18,75.01,352.7,424.34,22.56,0
RES-93810,2025-06-07,us-west-2,EBS,t3.small,Production,11.11,8.05,17.67,62.62,31.17,43.24,902.71,17.18,1
RES-93810,2025-06-08,us-west-2,EBS,t3.small,Development,15.03,97.39,124.74,275.0,173.26,581.7,1162.22,19.82,0
RES-93810,2025-06-09,ap-south-1,EBS,t3.medium,Testing,29.95,10.67,474.77,264.03,273.56,629.73,649.39,12.4,0
RES-93810,2025-06-10,us-east-1,EBS,m5.large,Development,40.72,18.88,194.47,226.57,142.58,850.85,461.59,17.27,0
RES-93810,2025-06-11,us-west-2,EC2,t3.medium,Development,53.83,17.47,129.0,61.8,194.37,923.0,1272.99,3.13,0
RES-93810,2025-06-12,eu-west-1,RDS,t3.micro,Production,64.65,61.07,438.07,57.26,228.75,727.06,844.89,12.03,0
RES-93810,2025-06-13,eu-central-1,RDS,t3.medium,Development,89.16,94.47,67.48,299.87,144.2,250.17,912.54,5.7,0
RES-93810,2025-06-14,eu-west-1,S3,t3.medium,Development,45.36,65.33,161.13,108.53,264.96,471.34,1207.18,17.62,0
RES-93810,2025-06-15,eu-west-1,S3,m5.large,Testing,40.5,57.31,118.42,44.63,78.97,935.41,875.03,10.6,0
RES-93810,2025-06-16,us-west-2,RDS,t3.small,Production,79.5,51.44,330.76,205.77,77.94,823.38,1450.26,15.76,0
RES-93810,2025-06-17,us-east-1,EC2,m5.large,Production,68.99,50.41,459.28,163.1,192.9,68.14,65.23,20.47,0
RES-93810,2025-06-18,ap-south-1,Lambda,t3.micro,Production,80.36,26.52,356.51,3.73,152.21,379.47,932.49,16.34,0
RES-93810,2025-06-19,us-west-2,EC2,t3.micro,Testing,51.5,43.25,18.2,216.94,161.19,293.82,760.79,17.05,0
RES-93810,2025-06-20,us-west-2,RDS,t3.micro,Testing,15.85,22.85,267.96,244.75,80.93,402.93,568.98,10.34,0
RES-93810,2025-06-21,ap-south-1,RDS,c5.large,Production,94.23,65.44,25.53,122.18,113.77,481.25,960.57,17.17,0
RES-93810,2025-06-22,eu-west-1,EBS,c5.large,Testing,85.22,90.48,122.59,270.48,207.99,571.12,417.58,22.26,0
RES-93810,2025-06-23,us-west-2,EBS,t3.small,Testing,5.06,91.38,164.1,288.48,176.52,754.73,1073.38,10.16,0
RES-93810,2025-06-24,eu-west-1,EC2,t3.micro,Development,79.62,41.19,449.3,100.19,226.93,148.55,1482.89,17.66,0
RES-93810,2025-06-25,ap-south-1,Lambda,t3.small,Development,23.59,12.07,306.53,184.55,179.09,969.23,499.67,15.58,0
RES-93810,2025-06-26,eu-west-1,S3,m5.large,Testing,53.43,39.91,101.01,176.18,114.64,774.45,453.64,6.67,0
RES-93810,2025-06-27,us-east-1,S3,m5.large,Development,74.9,19.35,200.91,108.85,28.36,943.53,675.43,18.51,0
RES-93810,2025-06-28,eu-central-1,S3,c5.large,Testing,6.21,15.58,60.61,27.8,166.71,600.96,1179.89,20.87,1
RES-93810,2025-06-29,us-east-1,RDS,t3.medium,Production,17.77,40.41,78.03,91.04,148.44,72.63,660.49,10.69,0
RES-24592,2025-01-01,eu-west-1,Lambda,t3.medium,Development,69.04,51.11,312.17,137.9,41.51,16.7,602.6,20.36,0
RES-24592,2025-01-02,eu-west-1,RDS,m5.large,Testing,77.84,84.93,487.37,41.7,96.88,947.81,313.26,8.23,0
RES-24592,2025-01-03,eu-central-1,EC2,m5.large,Testing,74.72,35.31,147.35,235.97,110.14,932.75,311.7,23.94,0
RES-24592,2025-01-04,eu-west-1,S3,m5.large,Development,21.5,79.18,417.33,21.68,254.49,797.1,1014.37,4.2,0
RES-24592,2025-01-05,eu-west-1,EBS,c5.large,Testing,8.88,97.14,244.83,120.84,152.48,921.19,1042.19,13.5,0
RES-24592,2025-01-06,eu-west-1,Lambda,t3.micro,Production,87.04,15.17,131.63,199.74,50.74,616.55,851.38,15.84,0
RES-24592,2025-01-07,eu-central-1,S3,t3.medium,Production,11.17,25.65,375.96,167.84,206.61,228.82,570.57,11.65,0
RES-24592,2025-01-08,eu-central-1,Lambda,t3.medium,Development,46.9,32.48,461.07,26.67,249.56,732.85,532.27,8.89,0
RES-24592,2025-01-09,us-west-2,S3,c5.large,Production,11.08,72.15,231.7,21.09,14.36,713.67,48.54,8.89,0
RES-24592,2025-01-10,eu-central-1,S3,m5.large,Testing,53.33,35.78,218.92,139.15,239.53,633.46,291.78,16.12,0
RES-24592,2025-01-11,eu-west-1,RDS,t3.small,Development,41.95,5.41,115.25,84.23,211.42,798.05,872.36,19.39,0
RES-24592,2025-01-12,ap-south-1,EBS,t3.small,Testing,12.6,67.38,249.85,289.81,94.71,394.75,597.93,3.63,0
RES-24592,2025-01-13,eu-central-1,Lambda,m5.large,Testing,67.66,32.66,311.1,26.34,41.05,126.68,468.49,5.21,0
RES-24592,2025-01-14,us-west-2,S3,t3.medium,Development,14.82,40.69,101.02,191.01,208.34,648.81,1499.85,13.76,0
RES-24592,2025-01-15,ap-south-1,Lambda,m5.large,Development,59.61,85.49,476.4,145.9,59.34,390.1,848.95,16.02,0
RES-24592,2025-01-16,ap-south-1,EBS,c5.large,Production,17.55,57.58,399.98,66.94,10.78,232.59,443.68,18.96,0
RES-24592,2025-01-17,ap-south-1,EC2,t3.small,Development,55.26,29.91,276.12,297.28,163.07,759.22,1143.61,11.15,0
RES-24592,2025-01-18,eu-central-1,RDS,c5.large,Testing,83.36,8.0,138.78,258.8,27.01,866.64,189.32,19.67,0
RES-24592,2025-01-19,eu-west-1,RDS,c5.large,Development,41.82,62.3,394.58,244.25,241.83,574.37,805.44,14.73,0
RES-24592,2025-01-20,us-west-2,S3,t3.small,Production,90.57,52.84,451.08,244.74,41.54,752.59,626.22,2.36,0
RES-24592,2025-01-21,us-east-1,Lambda,c5.large,Testing,68.16,82.05,383.12,203.19,147.35,581.65,414.04,10.53,0
RES-24592,2025-01-22,ap-south-1,RDS,t3.micro,Testing,27.87,92.08,190.84,285.13,98.86,12.45,1164.59,17.85,0
RES-24592,2025-01-23,eu-west-1,EC2,t3.micro,Production,38.99,95.04,414.18,148.92,97.54,290.76,827.76,4.0,0
RES-24592,2025-01-24,us-west-2,RDS,t3.small,Development,60.23,82.81,17.98,278.9,48.24,461.95,1487.88,10.84,0
RES-24592,2025-01-25,ap-south-1,EC2,t3.micro,Production,10.68,38.52,50.39,199.69,195.02,61.27,944.02,17.7,0
RES-24592,2025-01-26,us-west-2,Lambda,t3.micro,Production,21.85,12.25,300.9,156.31,134.07,17.98,525.21,3.77,0
RES-24592,2025-01-27,us-west-2,EC2,c5.large,Testing,37.63,72.96,60.19,94.69,264.42,145.76,1163.59,18.32,0
